session_id,round_idx,prefix_len,input_len,output_len,tool_wait_after_ms
claude:00a24909-986f-18d3-c090-ab9e0603a55e,0,14318,4594,262,6241
claude:00a24909-986f-18d3-c090-ab9e0603a55e,1,16820,2636,321,4946
claude:00a24909-986f-18d3-c090-ab9e0603a55e,2,19454,2553,296,4668
claude:00a24909-986f-18d3-c090-ab9e0603a55e,3,22005,593,424,7608
claude:00a24909-986f-18d3-c090-ab9e0603a55e,4,22596,2660,1362,0
claude:03a507f2-0448-911c-45b1-bf9ffb711f09,0,0,10923,119,95
claude:03a507f2-0448-911c-45b1-bf9ffb711f09,1,10920,3901,300,117
claude:03a507f2-0448-911c-45b1-bf9ffb711f09,2,14816,1715,4,123
claude:03a507f2-0448-911c-45b1-bf9ffb711f09,3,16525,867,150,125
claude:03a507f2-0448-911c-45b1-bf9ffb711f09,4,17388,339,9,0
claude:03e8c8c3-42b0-999a-6eee-5cb9e7f3991e,0,27233,7253,606,1367
claude:03e8c8c3-42b0-999a-6eee-5cb9e7f3991e,1,29917,5291,232,0
claude:03e8c8c3-42b0-999a-6eee-5cb9e7f3991e,2,35206,2742,1875,300000
claude:03e8c8c3-42b0-999a-6eee-5cb9e7f3991e,3,27233,12833,2003,300000
claude:03e8c8c3-42b0-999a-6eee-5cb9e7f3991e,4,27233,16911,2432,0
claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b,0,10684,10301,108,4
claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b,1,10777,12085,281,6281
claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b,2,21817,5217,5,62
claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b,3,27032,4090,3,7579
claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b,4,31120,2908,6381,0
claude:0557340a-5a5d-a853-229c-406e81229fc7,0,14131,3503,252,6039
claude:0557340a-5a5d-a853-229c-406e81229fc7,1,16014,1961,1,11623
claude:0557340a-5a5d-a853-229c-406e81229fc7,2,17973,3638,301,7506
claude:0557340a-5a5d-a853-229c-406e81229fc7,3,21609,687,252,9239
claude:0557340a-5a5d-a853-229c-406e81229fc7,4,22294,684,1154,0
claude:064a9dd6-9fc1-d38a-69fa-90276d693510,0,8623,4741,129,27
claude:064a9dd6-9fc1-d38a-69fa-90276d693510,1,11585,3943,873,300000
claude:064a9dd6-9fc1-d38a-69fa-90276d693510,2,15526,888,503,0
claude:064a9dd6-9fc1-d38a-69fa-90276d693510,3,16412,754,1836,29414
claude:064a9dd6-9fc1-d38a-69fa-90276d693510,4,17164,1853,242,0
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,0,12978,2876,325,17585
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,1,15851,3629,227,29288
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,2,18945,2603,192,4039
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,3,21183,864,121,102565
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,4,22046,1158,1026,0
claude:07b58c8a-45da-9e7b-45c3-7c3efd75b584,0,34079,2226,463,194
claude:07b58c8a-45da-9e7b-45c3-7c3efd75b584,1,36303,2668,245,98
claude:07b58c8a-45da-9e7b-45c3-7c3efd75b584,2,38969,8644,167,573
claude:07b58c8a-45da-9e7b-45c3-7c3efd75b584,3,47611,19581,325,551
claude:07b58c8a-45da-9e7b-45c3-7c3efd75b584,4,67190,19049,258,0
claude:0ad27a67-5489-0c83-6fd7-ae95e098b220,0,0,7938,396,0
claude:0ad27a67-5489-0c83-6fd7-ae95e098b220,1,5217,5297,627,0
claude:0ad27a67-5489-0c83-6fd7-ae95e098b220,2,10221,5771,601,0
claude:0ad27a67-5489-0c83-6fd7-ae95e098b220,3,15990,1650,274,0
