session_id,round_idx,prefix_len,input_len,output_len,tool_wait_after_ms,arrival_time
claude:00500900-ea20-09d8-f153-0848b74b1312,0,12978,2735,150,21586,2180660
claude:00500900-ea20-09d8-f153-0848b74b1312,1,15710,1904,256,10718,2180660
claude:00500900-ea20-09d8-f153-0848b74b1312,2,17613,1000,147,462211,2180660
claude:00500900-ea20-09d8-f153-0848b74b1312,3,12978,8908,1,0,2180660
claude:028d9019-5cbf-1276-6a95-2d9606192b65,0,12978,2738,320,49721,482044
claude:028d9019-5cbf-1276-6a95-2d9606192b65,1,15713,3414,242,23785,482044
claude:028d9019-5cbf-1276-6a95-2d9606192b65,2,17764,3230,262,0,482044
claude:03f34261-bfe9-b768-01f6-00ec71d5cd04,0,15597,3,163,36143,76632
claude:03f34261-bfe9-b768-01f6-00ec71d5cd04,1,15597,3176,127,27808,76632
claude:03f34261-bfe9-b768-01f6-00ec71d5cd04,2,17433,4629,132,34857,76632
claude:03f34261-bfe9-b768-01f6-00ec71d5cd04,3,20428,6646,1366,0,76632
claude:0454b6be-f881-c502-cc78-695c11b9b9f6,0,13045,2626,2,62518,1
claude:0454b6be-f881-c502-cc78-695c11b9b9f6,1,15668,714,204,13788,1
claude:0454b6be-f881-c502-cc78-695c11b9b9f6,2,16381,713,692,0,1
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,0,12978,2876,325,17585,2990964
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,1,15851,3629,227,29288,2990964
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,2,18945,2603,192,4039,2990964
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,3,21183,864,121,102565,2990964
claude:0679bd31-d48f-8e64-2bfb-132a58a4a046,4,22046,1158,1026,0,2990964
claude:0a84004c-6dee-cfad-92d4-789ff2bfd480,0,15703,3,291,27807,1684284
claude:0a84004c-6dee-cfad-92d4-789ff2bfd480,1,15703,3479,1,0,1684284
claude:0c2ca871-791a-e6b6-ef8b-a865b101e606,0,12978,2722,279,118785,1822034
claude:0c2ca871-791a-e6b6-ef8b-a865b101e606,1,15697,3187,255,0,1822034
claude:0d5c847d-89bb-5f6d-c54f-567725d8a0d4,0,15817,3,212,20518,2964197
claude:0d5c847d-89bb-5f6d-c54f-567725d8a0d4,1,15817,4696,376,0,2964197
claude:10018e31-2996-67b8-b651-8a3daf5a02cd,0,12978,2762,6,28288,1431740
claude:10018e31-2996-67b8-b651-8a3daf5a02cd,1,15737,4613,292,3236,1431740
claude:10018e31-2996-67b8-b651-8a3daf5a02cd,2,17196,3940,265,18404,1431740
claude:10018e31-2996-67b8-b651-8a3daf5a02cd,3,21135,749,314,286588,1431740
claude:10018e31-2996-67b8-b651-8a3daf5a02cd,4,12978,9717,200,4396,1431740
claude:112d3db5-535f-45f9-70b7-89a94abf78de,0,12978,2722,195,49730,1017763
claude:112d3db5-535f-45f9-70b7-89a94abf78de,1,15697,4102,285,5871,1017763
claude:112d3db5-535f-45f9-70b7-89a94abf78de,2,19798,965,223,2469,1017763
claude:112d3db5-535f-45f9-70b7-89a94abf78de,3,20347,1532,876,0,1017763
claude:13e2f0ad-dfc8-765a-dec6-576d33563e2d,0,12978,2779,177,22776,3282203
claude:13e2f0ad-dfc8-765a-dec6-576d33563e2d,1,15754,3167,272,24712,3282203
claude:13e2f0ad-dfc8-765a-dec6-576d33563e2d,2,17466,3222,1,28629,3282203
claude:13e2f0ad-dfc8-765a-dec6-576d33563e2d,3,19430,3291,916,0,3282203
