# 墙钟的两段分解 + 步时间 —— 由 scripts/lab/gen_decomp.py 生成，勿手改
# busy/idle: 相邻采样按前一时刻 sglang:num_running_reqs 是否为 0 归类；busy+idle==span（有断言）
# span_min: metrics.csv 的采样跨度；wall_min: run_summary 的墙钟。两者差 ~6 分，是采样边界
# step_back: busy分钟 x 在跑均值 / 产出token（导出量；用 busy 不用墙钟，见下）; step_perreq: 逐请求 decode 间隔中位（独立测量）
run,wall_min,span_min,idle_min,busy_min,idle_pct,running,step_back_ms,step_perreq_ms
cap1,527.4,533.6,193.6,340.0,36.3,0.64,18.4,20.6
cap2,304.2,310.4,57.0,253.5,18.4,1.04,22.4,22.8
cap3_fixed,258.7,264.7,37.1,227.6,14.0,1.32,25.5,24.9
cap4,249.9,257.6,26.7,230.9,10.4,1.48,29.0,25.8
cap5,260.9,266.9,32.4,234.5,12.1,1.62,32.2,31.2
pairB_cap2hc,295.0,303.3,50.1,253.2,16.5,1.05,22.5,22.7
cap3_hc,236.4,242.5,24.1,218.4,9.9,1.36,25.2,24.5
cap4_hc,213.0,219.0,16.1,202.8,7.4,1.6,27.6,25.7
foyer_hc,291.3,297.5,47.4,250.1,15.9,1.14,24.2,23.8
foyer_hz1,255.8,261.9,36.7,225.2,14.0,1.31,25.1,24.6
foyer_hz2,306.1,312.2,39.8,272.3,12.8,1.25,29.3,30.9
foyer_hz0,290.0,296.1,45.0,251.0,15.2,1.41,30.2,33.1
foyer_bres,295.5,301.5,30.5,271.0,10.1,1.33,30.6,31.3
