# Foyer 全部 run 的实测值（2026-09-23 从实验机 run_summary.py 导出）
# 列: run, tier, steps, wall_min, conc, slo_pct, sd_pp, family
#   tier   200 = 200 会话档(泊松 λ=0.04/s, 999 步)；25 = 25 会话档(125 步)
#   family static / static_hc(带 HiCache) / foyer
#   只收 999 步跑满的（25 档为 125 步）；截断的 run 不列
run,tier,steps,wall_min,conc,slo_pct,sd_pp,family
cap1,200,999,527.4,1.00,94.8,2.4,static
cap2,200,999,304.2,1.99,89.5,6.4,static
cap3_fixed,200,999,258.7,2.89,74.4,7.5,static
cap4,200,999,249.9,3.94,55.7,15.8,static
cap5,200,999,260.9,4.89,27.1,9.8,static
pairA_cap2hc,200,999,304.5,1.96,90.6,5.6,static_hc
pairB_cap2hc,200,999,295.0,1.99,91.6,3.4,static_hc
cap3_hc,200,999,236.4,2.93,81.1,9.2,static_hc
cap4_hc,200,999,213.0,3.93,63.4,9.4,static_hc
foyer_hc,200,999,291.3,2.06,89.8,4.8,foyer
foyer_hz1,200,999,255.8,2.58,84.8,7.5,foyer
foyer_hz2,200,997,306.1,2.22,86.9,5.6,foyer
foyer_hz0,200,995,290.0,2.69,77.2,8.8,foyer
foyer_bres,200,999,295.5,2.40,83.8,7.2,foyer
foyer_breshz1,200,999,310.9,2.77,72.3,14.2,foyer
foyer_nogate,200,999,272.3,3.25,66.6,9.3,foyer
foyer_rg4,200,998,282.3,3.03,64.3,8.9,foyer
foyfix_hc,200,999,415.0,2.58,46.1,14.4,foyer
cap2_25,25,125,32.4,1.95,92.8,11.0,static_hc
cap3_25,25,125,24.2,2.77,91.2,5.1,static_hc
