ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788937207.551,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937212.587,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937217.606,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937222.625,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937227.642,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937232.658,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937237.677,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937242.695,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937247.712,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937252.73,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937257.747,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937262.763,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937267.781,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937272.798,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937277.812,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937282.83,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937287.847,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937292.861,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937297.875,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937302.89,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937307.91,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937312.923,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937317.939,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937322.954,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937327.973,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937332.99,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937338.006,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937343.022,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937348.04,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937353.057,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937358.074,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937363.09,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937368.107,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937373.122,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937378.137,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937383.152,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937388.168,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937393.184,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937398.199,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937403.216,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937408.233,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937413.249,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937418.264,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937423.28,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788937428.297,0.05366173195336041,0.05366173195336041,0.0,0.0,1.0,0.0,114495.0,6144.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788937433.313,0.23849949779466353,0.23849949779466353,0.0,1.0,0.0,0.0,114495.0,27307.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788937438.328,0.29573343814140357,0.29573343814140357,0.0,1.0,0.0,0.0,114495.0,33860.0,0.5725766666666637,130.0,511.0,,11955.0,,,,,,,,,
1788937443.348,0.13140311804008908,0.13140311804008908,0.0,1.0,0.0,0.0,114495.0,15045.0,0.5725766666666637,392.0,511.0,,30867.0,,,,,,,,,
1788937448.366,0.34055635617275865,0.34055635617275865,0.0,1.0,1.0,0.0,114495.0,38992.0,0.6036799999999978,696.0,26247.0,,62219.0,,,,,,,,,
1788937453.383,0.5288265863138129,0.5288265863138129,0.0,3.0,0.0,0.0,114495.0,60548.0,0.6036799999999978,696.0,26247.0,,62219.0,,,,,,,,,
1788937458.404,0.6523341630638892,0.6523341630638892,0.0,4.0,0.0,0.0,114495.0,74689.0,0.6036799999999978,696.0,26247.0,,62219.0,,,,,,,,,
1788937463.423,0.6388226560111795,0.6388226560111795,0.0,3.0,0.0,0.0,114495.0,73142.0,0.5324433333333295,855.0,60160.0,,97338.0,,,,,,,,,
1788937468.443,0.6707716494170051,0.6707716494170051,0.0,4.0,0.0,0.0,114495.0,76800.0,0.4040166666666599,1178.0,60160.0,,134987.0,,,,,,,,,
1788937473.463,0.36287174112406656,0.36287174112406656,0.0,2.0,0.0,0.0,114495.0,41547.0,0.4040166666666599,1918.0,101263.0,,195764.0,,,,,,,,,
1788937478.486,0.6074675750032753,0.6074675750032753,0.0,3.0,1.0,0.0,114495.0,69552.0,0.098,1918.0,101263.0,,195764.0,,,,,,,,,
1788937483.505,0.7864273549063278,0.7864273549063278,0.0,4.0,0.0,0.0,114495.0,90042.0,0.098,1918.0,101263.0,19165.0,195764.0,,,,,,,,,
1788937488.523,0.9295253067819556,0.9295253067819556,0.0,4.0,0.0,0.0,114495.0,106426.0,0.098,1918.0,101263.0,35218.0,195764.0,,,,,,,,,
1788937493.542,0.953517620856806,0.953517620856806,0.0,5.0,1.0,0.0,114495.0,109173.0,0.098,1918.0,101263.0,35218.0,195764.0,,,,,,,,,
1788937498.566,0.8776889820516179,0.8776889820516179,0.0,5.0,1.0,0.0,114495.0,100491.0,0.098,2408.0,126762.0,55447.0,251800.0,,,,,,,,,
1788937503.582,0.8767195074020699,0.8767195074020699,0.0,4.0,1.0,0.0,114495.0,100380.0,0.098,2408.0,126762.0,67735.0,251800.0,,,,,,,,,
1788937508.602,0.9016201580855059,0.9016201580855059,0.0,4.0,0.0,0.0,114495.0,103231.0,0.098,2704.0,146216.0,81846.0,273807.0,,,,,,,,,
1788937513.619,0.8182540722302284,0.8182540722302284,0.0,4.0,1.0,0.0,114495.0,93686.0,0.098,2997.0,146216.0,84187.0,288153.0,,,,,,,,,
1788937518.639,0.857399886457924,0.857399886457924,0.0,3.0,1.0,0.0,114495.0,98168.0,0.098,3870.0,157801.0,102646.0,303681.0,,,,,,,,,
1788937523.659,0.6503428097296825,0.6503428097296825,0.0,2.0,1.0,0.0,114495.0,74461.0,0.098,4370.0,174185.0,113425.0,351637.0,,,,,,,,,
1788937528.677,0.7444866588060614,0.7444866588060614,0.0,2.0,1.0,0.0,114495.0,85240.0,0.098,4370.0,174185.0,124478.0,351637.0,,,,,,,,,
1788937533.696,0.7825145202847286,0.7825145202847286,0.0,3.0,1.0,0.0,114495.0,89594.0,0.098,4672.0,186473.0,129260.0,380693.0,,,,,,,,,
1788937538.715,0.7877549237957989,0.7877549237957989,0.0,3.0,1.0,0.0,114495.0,90194.0,0.098,4672.0,186473.0,131308.0,380693.0,,,,,,,,,
1788937543.733,0.7756233896676711,0.7756233896676711,0.0,3.0,1.0,0.0,114495.0,88805.0,0.098,5449.0,202857.0,140389.0,436595.0,,,,,,,,,
1788937548.753,0.5780863793178741,0.5780863793178741,0.0,2.0,1.0,0.0,114495.0,66188.0,0.098,5449.0,202857.0,140389.0,436595.0,,,,,,,,,
1788937553.774,0.5865933010175117,0.5865933010175117,0.0,1.0,2.0,0.0,114495.0,67162.0,0.098,6068.0,231529.0,153171.0,469975.0,,,,,,,,,
1788937558.792,0.6939167649242325,0.6939167649242325,0.0,1.0,2.0,0.0,114495.0,79450.0,0.098,6068.0,231529.0,166690.0,469975.0,,,,,,,,,
1788937563.812,0.7171579544958295,0.7171579544958295,0.0,2.0,2.0,0.0,114495.0,82111.0,0.098,6068.0,231529.0,166690.0,469975.0,,,,,,,,,
1788937568.832,0.7213502773046858,0.7213502773046858,0.0,2.0,2.0,0.0,114495.0,82591.0,0.098,6068.0,231529.0,166690.0,469975.0,,,,,,,,,
1788937573.852,0.6697759727499017,0.6697759727499017,0.0,2.0,0.0,0.0,114495.0,76686.0,0.098,6452.0,256105.0,181861.0,519578.0,,,,,,,,,
1788937578.868,0.8009520066378445,0.8009520066378445,0.0,2.0,1.0,0.0,114495.0,91705.0,0.098,6452.0,256105.0,194149.0,519578.0,,,,,,,,,
1788937583.883,0.5188261496135202,0.5188261496135202,0.0,2.0,1.0,0.0,114495.0,59403.0,0.098,7210.0,278633.0,194907.0,551607.0,,,,,,,,,
1788937588.901,0.4741953797109044,0.4741953797109044,0.0,1.0,1.0,0.0,114495.0,54293.0,0.098,7574.0,309353.0,204408.0,585322.0,,,,,,,,,
1788937593.921,0.5815188436176252,0.5815188436176252,0.0,1.0,1.0,0.0,114495.0,66581.0,0.098,7574.0,309353.0,216696.0,585322.0,,,,,,,,,
1788937598.94,0.6709550635398925,0.6709550635398925,0.0,1.0,1.0,0.0,114495.0,76821.0,0.098,7574.0,309353.0,226936.0,585322.0,,,,,,,,,
1788937603.96,0.7603912834621599,0.7603912834621599,0.0,1.0,2.0,0.0,114495.0,87061.0,0.098,7574.0,309353.0,236439.0,585322.0,,,,,,,,,
1788937608.978,0.8319402593999738,0.8319402593999738,0.0,1.0,2.0,0.0,114495.0,95253.0,0.098,7574.0,309353.0,244631.0,585322.0,,,,,,,,,
1788937613.997,0.8781518843617625,0.8781518843617625,0.0,2.0,3.0,0.0,114495.0,100544.0,0.098,7574.0,309353.0,248727.0,585322.0,,,,,,,,,
1788937619.017,0.8809467662343333,0.8809467662343333,0.0,2.0,3.0,0.0,114495.0,100864.0,0.098,7574.0,309353.0,248727.0,585322.0,,,,,,,,,
1788937624.035,0.37011223197519544,0.37011223197519544,0.8571428571428571,1.0,2.0,0.0,114495.0,42376.0,0.098,7944.0,331881.0,254366.0,660223.0,,,,,,,,,
