ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1789059908.073,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059913.093,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059918.11,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059923.127,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059928.146,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059933.164,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059938.18,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059943.193,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059948.21,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059953.223,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059958.241,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789059963.26,0.0,0.0,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
