workload summary | sessions=200 steps=999 max_prompt_len=89436 max_prefix_len=84631 max_input_len=66571 max_output_len=13223 total_output_len=706010 max_arrival_time_ms=0.000 total_tool_wait_after_ms=12642024.000
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=0.5s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=1.0s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=1.5s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=2.0s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=2.5s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=3.0s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=3.5s
sessions 0/200 | steps 0/999 completed=0 submitted=200 active=200 failed=0 | elapsed=4.0s
prefix hit rate | request_id=claude:4743d830-738d-5a99-fe11-aa87f0322fa9_round_000000 planned=0.7914 actual=0.0000 delta=-0.7914 server_cached_prompt_tokens=0 server_prompt_tokens=17739
sessions 0/200 | steps 1/999 completed=1 submitted=200 active=199 failed=0 | elapsed=4.5s
sessions 0/200 | steps 1/999 completed=1 submitted=200 active=199 failed=0 | elapsed=5.0s
sessions 0/200 | steps 1/999 completed=1 submitted=200 active=199 failed=0 | elapsed=5.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=6.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=6.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=7.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=7.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=8.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=8.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=9.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=9.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=10.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=10.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=11.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=11.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=12.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=12.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=13.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=13.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=14.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=14.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=15.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=15.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=16.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=16.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=17.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=17.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=18.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=18.5s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=19.0s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=19.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=20.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=20.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=21.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=21.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=22.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=22.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=23.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=23.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=24.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=24.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=25.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=25.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=26.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=26.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=27.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=27.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=28.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=28.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=29.1s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=29.6s
sessions 0/200 | steps 1/999 completed=1 submitted=201 active=200 failed=0 | elapsed=30.1s
prefix hit rate | request_id=claude:1df5e048-52d2-a5e3-5e43-7fd9016b12d7_round_000000 planned=0.0000 actual=0.0000 delta=+0.0000 server_cached_prompt_tokens=0 server_prompt_tokens=14137
sessions 0/200 | steps 2/999 completed=2 submitted=202 active=200 failed=0 | elapsed=30.6s
