ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788986924.356,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986929.373,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986934.387,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986939.403,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986944.422,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986949.441,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986954.458,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986959.475,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986964.493,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986969.51,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986974.529,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986979.547,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986984.565,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986989.582,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986994.599,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788986999.614,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987004.629,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987009.646,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987014.665,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987019.682,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987024.698,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987029.717,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987034.734,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987039.753,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987044.768,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987049.786,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987054.805,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987059.822,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987064.841,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987069.858,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987074.877,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987079.894,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987084.914,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987089.93,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987094.948,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987099.966,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987104.986,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987110.005,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987115.024,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987120.042,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987125.058,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987130.073,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987135.089,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788987140.105,0.07154897593781388,0.07154897593781388,0.0,0.0,1.0,0.0,114495.0,8192.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788987145.118,0.25638674177911697,0.25638674177911697,0.0,1.0,0.0,0.0,114495.0,29355.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788987150.136,0.2961352024105856,0.2961352024105856,0.0,2.0,0.0,0.0,114495.0,33906.0,0.5725766666666637,130.0,511.0,,11955.0,,,,,,,,,
1788987155.157,0.13175247827416045,0.13175247827416045,0.0,1.0,0.0,0.0,114495.0,15085.0,0.5725766666666637,392.0,511.0,,30867.0,,,,,,,,,
1788987160.176,0.323079610463339,0.323079610463339,0.0,2.0,0.0,0.0,114495.0,36991.0,0.6026766666666644,696.0,26247.0,,62219.0,,,,,,,,,
1788987165.195,0.29919210445871,0.29919210445871,0.0,1.0,0.0,0.0,114495.0,34256.0,0.5264233333333294,855.0,60160.0,,97338.0,,,,,,,,,
1788987170.213,0.4310581248089436,0.4310581248089436,0.0,2.0,0.0,0.0,114495.0,49354.0,0.4361233333333273,855.0,60160.0,,97338.0,,,,,,,,,
1788987175.23,0.5741648106904231,0.5741648106904231,0.0,2.0,0.0,0.0,114495.0,65739.0,0.4341166666666606,856.0,60160.0,,112258.0,,,,,,,,,
1788987180.251,0.681488274597144,0.681488274597144,0.0,2.0,0.0,0.0,114495.0,78027.0,0.4341166666666606,856.0,60160.0,,112258.0,,,,,,,,,
1788987185.271,0.7709244945194114,0.7709244945194114,0.0,2.0,0.0,0.0,114495.0,88267.0,0.4341166666666606,856.0,60160.0,,112258.0,,,,,,,,,
1788987190.291,0.8483077863662168,0.8483077863662168,0.0,2.0,0.0,0.0,114495.0,97127.0,0.43110666666666053,857.0,75077.0,6397.0,168804.0,,,,,,,,,
1788987195.312,0.9198567623040308,0.9198567623040308,0.0,2.0,0.0,0.0,114495.0,105319.0,0.43110666666666053,857.0,75077.0,15069.0,168804.0,,,,,,,,,
1788987200.332,0.30109611773439887,0.30109611773439887,0.9972864914465491,2.0,0.0,0.0,114495.0,34474.0,0.41705999999999355,860.0,281077.0,24144.0,394564.0,,,,,,,,,
1788987205.354,0.48181143281366,0.48181143281366,0.0,2.0,0.0,0.0,114495.0,55165.0,0.40802999999999334,864.0,294875.0,40988.0,422903.0,,,,,,,,,
1788987210.373,0.30125332983973097,0.30125332983973097,0.0,2.0,0.0,0.0,114495.0,34492.0,0.40802999999999334,865.0,309406.0,55986.0,455743.0,,,,,,,,,
1788987215.393,0.39088169789073757,0.39088169789073757,0.0,2.0,0.0,0.0,114495.0,44754.0,0.39598999999999307,871.0,378746.0,70322.0,532543.0,,,,,,,,,
1788987220.413,0.25734748242281325,0.25734748242281325,0.0,2.0,0.0,0.0,114495.0,29465.0,0.39598999999999307,1192.0,395566.0,74418.0,551999.0,,,,,,,,,
1788987225.432,0.3235599807851871,0.3235599807851871,0.0,1.0,1.0,0.0,114495.0,37046.0,0.098,1401.0,395566.0,85239.0,566338.0,,,,,,,,,
1788987230.452,0.5466352242456003,0.5466352242456003,0.0,3.0,0.0,0.0,114495.0,62587.0,0.098,1401.0,395566.0,87287.0,566338.0,,,,,,,,,
1788987235.472,0.15625136468841433,0.15625136468841433,0.8740157480314961,0.0,0.0,0.0,114495.0,17890.0,0.098,2501.0,428716.0,91383.0,628276.0,,,,,,,,,
1788987240.492,0.41148521769509583,0.41148521769509583,0.9241706161137441,1.0,0.0,0.0,114495.0,47113.0,0.098,2501.0,428716.0,101341.0,628276.0,,,,,,,,,
1788987245.513,0.6297218219136207,0.6297218219136207,0.0,3.0,0.0,0.0,114495.0,72100.0,0.098,2501.0,428716.0,101341.0,628276.0,,,,,,,,,
1788987250.532,0.20058517839206952,0.20058517839206952,0.0,1.0,0.0,0.0,114495.0,22966.0,0.098,3238.0,467884.0,105015.0,677107.0,,,,,,,,,
1788987255.553,0.5886545263985327,0.5886545263985327,0.0,1.0,1.0,0.0,114495.0,67398.0,0.098,3238.0,467884.0,115125.0,677107.0,,,,,,,,,
1788987260.573,0.8045591510546312,0.8045591510546312,0.0,3.0,0.0,0.0,114495.0,92118.0,0.098,3238.0,467884.0,121269.0,677107.0,,,,,,,,,
1788987265.592,0.1661033232892266,0.1661033232892266,0.0,1.0,0.0,0.0,114495.0,19018.0,0.098,3801.0,519969.0,121269.0,749975.0,,,,,,,,,
1788987270.612,0.22083060395650464,0.22083060395650464,0.0,1.0,0.0,0.0,114495.0,25284.0,0.7,4117.0,537761.0,124050.0,768769.0,,,,,,,,,
1788987275.632,0.8529455434735141,0.8529455434735141,0.0,2.0,0.0,0.0,114495.0,97658.0,0.5053533333333289,4117.0,537761.0,129656.0,768769.0,,,,,,,,,
1788987280.652,0.858002532861697,0.858002532861697,0.0,3.0,0.0,0.0,114495.0,98237.0,0.5053533333333289,4117.0,537761.0,129656.0,768769.0,,,,,,,,,
1788987285.674,0.8632429363727674,0.8632429363727674,0.0,3.0,0.0,0.0,114495.0,98837.0,0.5053533333333289,4117.0,537761.0,129656.0,768769.0,,,,,,,,,
1788987290.69,0.8684833398838377,0.8684833398838377,0.0,3.0,0.0,0.0,114495.0,99437.0,0.5053533333333289,4117.0,537761.0,131704.0,768769.0,,,,,,,,,
1788987295.709,0.6871479103891,0.6871479103891,0.0,2.0,0.0,0.0,114495.0,78675.0,0.5053533333333289,4907.0,556065.0,131704.0,789337.0,,,,,,,,,
1788987300.728,0.6906415127298136,0.6906415127298136,0.0,2.0,0.0,0.0,114495.0,79075.0,0.5053533333333289,4907.0,556065.0,131704.0,789337.0,,,,,,,,,
1788987305.743,0.5443032446831739,0.5443032446831739,0.0,3.0,0.0,0.0,114495.0,62320.0,0.098,5925.0,605601.0,146766.0,840974.0,,,,,,,,,
1788987310.758,0.4047862352067776,0.4047862352067776,0.0,2.0,0.0,0.0,114495.0,46346.0,0.098,7287.0,628197.0,160078.0,866230.0,,,,,,,,,
1788987315.777,0.3595615529062404,0.3595615529062404,0.0,2.0,0.0,0.0,114495.0,41168.0,0.098,7482.0,628197.0,168270.0,880611.0,,,,,,,,,
1788987320.796,0.5813878335298485,0.5813878335298485,0.0,3.0,0.0,0.0,114495.0,66566.0,0.098,7482.0,628197.0,178510.0,880611.0,,,,,,,,,
1788987325.816,0.5866282370409188,0.5866282370409188,0.0,3.0,0.0,0.0,114495.0,67166.0,0.098,7718.0,641893.0,180558.0,905824.0,,,,,,,,,
1788987330.835,0.4185684964408926,0.4185684964408926,0.0,1.0,0.0,0.0,114495.0,47924.0,0.098,8181.0,641893.0,192206.0,925286.0,,,,,,,,,
1788987335.852,0.7438927464081401,0.7438927464081401,0.0,2.0,0.0,0.0,114495.0,85172.0,0.098,8181.0,641893.0,204739.0,925286.0,,,,,,,,,
1788987340.872,0.646281497008603,0.646281497008603,0.0,2.0,0.0,0.0,114495.0,73996.0,0.098,8871.0,662245.0,214728.0,946713.0,,,,,,,,,
1788987345.892,0.7893794488842307,0.7893794488842307,0.0,2.0,0.0,0.0,114495.0,90380.0,0.098,8871.0,662245.0,232383.0,946713.0,,,,,,,,,
1788987350.915,0.8266823878771998,0.8266823878771998,0.0,3.0,0.0,0.0,114495.0,94651.0,0.098,9211.0,702849.0,234431.0,1014409.0,,,,,,,,,
1788987355.932,0.5332197912572602,0.5332197912572602,0.0,2.0,0.0,0.0,114495.0,61051.0,0.098,9211.0,702849.0,234431.0,1014409.0,,,,,,,,,
1788987360.951,0.9124677933534215,0.9124677933534215,0.0,2.0,0.0,0.0,114495.0,104473.0,0.098,9211.0,702849.0,244543.0,1014409.0,,,,,,,,,
1788987365.97,0.9465391501812306,0.9465391501812306,0.0,3.0,0.0,0.0,114495.0,108374.0,0.098,9629.0,702849.0,252735.0,1040764.0,,,,,,,,,
1788987370.988,0.5710467706013364,0.5710467706013364,0.0,2.0,0.0,0.0,114495.0,65382.0,0.098,9848.0,736001.0,252735.0,1084085.0,,,,,,,,,
1788987376.007,0.5752390934101926,0.5752390934101926,0.0,2.0,0.0,0.0,114495.0,65862.0,0.098,9848.0,736001.0,252735.0,1084085.0,,,,,,,,,
1788987381.027,0.6336870605703305,0.6336870605703305,0.0,1.0,1.0,0.0,114495.0,72554.0,0.098,10406.0,759627.0,262809.0,1114550.0,,,,,,,,,
1788987386.047,0.6412157736145683,0.6412157736145683,0.0,2.0,1.0,0.0,114495.0,73416.0,0.098,10406.0,759627.0,262809.0,1114550.0,,,,,,,,,
1788987391.067,0.6447093759552819,0.6447093759552819,0.0,2.0,1.0,0.0,114495.0,73816.0,0.098,10406.0,759627.0,262809.0,1114550.0,,,,,,,,,
1788987396.082,0.6482029782959955,0.6482029782959955,0.0,2.0,1.0,0.0,114495.0,74216.0,0.098,10974.0,788961.0,265997.0,1152648.0,,,,,,,,,
1788987401.104,0.761439364164374,0.761439364164374,0.0,1.0,1.0,0.0,114495.0,87181.0,0.098,10974.0,788961.0,275801.0,1152648.0,,,,,,,,,
1788987406.124,0.7750818813048604,0.7750818813048604,0.0,2.0,1.0,0.0,114495.0,88743.0,0.098,10974.0,788961.0,275801.0,1152648.0,,,,,,,,,
1788987411.145,0.778575483645574,0.778575483645574,0.0,2.0,1.0,0.0,114495.0,89143.0,0.098,10974.0,788961.0,277849.0,1152648.0,,,,,,,,,
1788987416.165,0.7820690859862877,0.7820690859862877,0.0,2.0,1.0,0.0,114495.0,89543.0,0.098,10974.0,788961.0,277849.0,1152648.0,,,,,,,,,
1788987421.184,0.7855626883270012,0.7855626883270012,0.0,2.0,1.0,0.0,114495.0,89943.0,0.098,10974.0,788961.0,277849.0,1152648.0,,,,,,,,,
1788987426.204,0.5610113978776365,0.5610113978776365,0.920230583469658,1.0,0.0,0.0,114495.0,64233.0,0.098,11887.0,828257.0,284148.0,1205522.0,,,,,,,,,
1788987431.221,0.6667016026900738,0.6667016026900738,0.0,1.0,1.0,0.0,114495.0,76334.0,0.098,11887.0,828257.0,296436.0,1205522.0,,,,,,,,,
