ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788834814.969,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834819.988,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834825.004,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834830.019,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834835.037,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834840.052,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834845.061,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834850.077,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834855.092,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834860.107,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834865.124,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834870.142,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834875.161,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834880.178,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834885.193,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834890.209,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834895.226,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834900.243,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834905.258,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834910.273,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834915.29,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834920.301,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834925.316,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834930.329,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834935.345,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834940.363,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834945.377,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834950.391,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834955.402,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834960.415,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834965.431,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834970.443,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834975.462,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834980.478,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834985.491,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834990.506,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788834995.523,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835000.538,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835005.557,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835010.574,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835015.587,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835020.605,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835025.622,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835030.64,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835035.656,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835040.672,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788835045.685,0.08943621992226734,0.08943621992226734,0.0,0.0,3.0,0.0,114495.0,10240.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788835050.698,0.25638674177911697,0.25638674177911697,0.0,1.0,2.0,0.0,114495.0,29355.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788835055.72,0.3815974496702913,0.3815974496702913,0.0,1.0,2.0,0.0,114495.0,43691.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788835060.739,0.5575876675837372,0.5575876675837372,0.0,2.0,1.0,0.0,114495.0,63841.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788835065.752,0.7227651862526748,0.7227651862526748,0.0,3.0,0.0,0.0,114495.0,82753.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788835070.767,0.7124241233241626,0.7124241233241626,0.0,3.0,0.0,0.0,114495.0,81569.0,0.5886299999999974,118.0,511.0,,22015.0,,,,,,,,,
1788835075.786,0.798707367133936,0.798707367133936,0.0,4.0,0.0,0.0,114495.0,91448.0,0.5735799999999971,237.0,511.0,,32938.0,,,,,,,,,
1788835080.804,0.43637713437268005,0.43637713437268005,0.0,3.0,0.0,0.0,114495.0,49963.0,0.5735799999999971,780.0,11288.0,,74712.0,,,,,,,,,
1788835085.82,0.6281584348661513,0.6281584348661513,0.0,3.0,0.0,0.0,114495.0,71921.0,0.19532333333332338,1084.0,37024.0,,106064.0,,,,,,,,,
1788835090.84,0.749150617930914,0.749150617930914,0.0,3.0,1.0,0.0,114495.0,85774.0,0.098,1857.0,119786.0,7286.0,233825.0,,,,,,,,,
1788835095.86,0.34972706231713174,0.34972706231713174,0.0,2.0,1.0,0.0,114495.0,40042.0,0.098,1857.0,119786.0,26713.0,233825.0,,,,,,,,,
1788835100.881,0.474937770208306,0.474937770208306,0.0,2.0,2.0,0.0,114495.0,54378.0,0.098,1857.0,119786.0,41324.0,233825.0,,,,,,,,,
1788835105.898,0.5643739901305734,0.5643739901305734,0.0,2.0,2.0,0.0,114495.0,64618.0,0.098,1857.0,119786.0,51435.0,233825.0,,,,,,,,,
1788835110.917,0.9317612122800122,0.9317612122800122,0.0,3.0,1.0,0.0,114495.0,106682.0,0.098,1857.0,119786.0,63015.0,233825.0,,,,,,,,,
1788835115.939,0.9355081007904276,0.9355081007904276,0.0,3.0,1.0,0.0,114495.0,107111.0,0.098,1857.0,119786.0,63015.0,233825.0,,,,,,,,,
1788835120.958,0.6343071749858072,0.6343071749858072,0.0,1.0,1.0,0.0,114495.0,72625.0,0.098,2410.0,166523.0,78696.0,288489.0,,,,,,,,,
1788835125.974,0.741630638892528,0.741630638892528,0.0,1.0,2.0,0.0,114495.0,84913.0,0.098,2410.0,166523.0,91608.0,288489.0,,,,,,,,,
1788835130.994,0.7552556880213109,0.7552556880213109,0.0,2.0,2.0,0.0,114495.0,86473.0,0.098,2410.0,166523.0,91608.0,288489.0,,,,,,,,,
1788835136.012,0.586016856631294,0.586016856631294,0.0,1.0,2.0,0.0,114495.0,67096.0,0.098,2942.0,166523.0,98996.0,340401.0,,,,,,,,,
1788835141.035,0.7385824708502555,0.7385824708502555,0.0,2.0,1.0,0.0,114495.0,84564.0,0.098,2942.0,166523.0,117428.0,340401.0,,,,,,,,,
1788835146.055,0.8247783746015109,0.8247783746015109,0.0,3.0,1.0,0.0,114495.0,94433.0,0.098,2942.0,166523.0,125620.0,340401.0,,,,,,,,,
1788835151.07,0.8300187781125813,0.8300187781125813,0.0,3.0,1.0,0.0,114495.0,95033.0,0.098,2942.0,166523.0,125620.0,340401.0,,,,,,,,,
1788835156.092,0.6391196122101401,0.6391196122101401,0.0,2.0,1.0,0.0,114495.0,73176.0,0.098,3238.0,166523.0,125620.0,362408.0,,,,,,,,,
1788835161.113,0.6426132145508537,0.6426132145508537,0.0,2.0,2.0,0.0,114495.0,73576.0,0.098,3238.0,166523.0,125620.0,362408.0,,,,,,,,,
1788835166.133,0.64680553735971,0.64680553735971,0.0,2.0,2.0,0.0,114495.0,74056.0,0.098,3238.0,166523.0,127443.0,362408.0,,,,,,,,,
1788835171.149,0.6502991397004236,0.6502991397004236,0.0,2.0,2.0,0.0,114495.0,74456.0,0.098,3238.0,166523.0,127443.0,362408.0,,,,,,,,,
1788835176.169,0.6537927420411371,0.6537927420411371,0.0,2.0,2.0,0.0,114495.0,74856.0,0.098,3238.0,166523.0,127443.0,362408.0,,,,,,,,,
1788835181.188,0.6572863443818507,0.6572863443818507,0.0,2.0,2.0,0.0,114495.0,75256.0,0.098,3238.0,166523.0,127443.0,362408.0,,,,,,,,,
1788835186.209,0.6607799467225643,0.6607799467225643,0.0,2.0,2.0,0.0,114495.0,75656.0,0.098,3238.0,166523.0,129491.0,362408.0,,,,,,,,,
1788835191.228,0.5129656316869732,0.5129656316869732,0.9,1.0,1.0,0.0,114495.0,58732.0,0.098,5113.0,193147.0,134498.0,400356.0,,,,,,,,,
1788835196.247,0.6381763395781476,0.6381763395781476,0.0,1.0,1.0,0.0,114495.0,73068.0,0.098,5113.0,193147.0,148834.0,400356.0,,,,,,,,,
1788835201.268,0.7276125595004148,0.7276125595004148,0.0,1.0,1.0,0.0,114495.0,83308.0,0.098,5113.0,193147.0,159074.0,400356.0,,,,,,,,,
1788835206.285,0.8036508144460457,0.8036508144460457,0.0,1.0,1.0,0.0,114495.0,92014.0,0.098,5113.0,193147.0,167266.0,400356.0,,,,,,,,,
1788835211.304,0.806672780470763,0.806672780470763,0.0,2.0,1.0,0.0,114495.0,92360.0,0.098,5113.0,193147.0,167266.0,400356.0,,,,,,,,,
1788835216.323,0.5158740556356173,0.5158740556356173,0.0,1.0,1.0,0.0,114495.0,59065.0,0.098,5445.0,211579.0,174254.0,456164.0,,,,,,,,,
1788835221.346,0.5199965063976593,0.5199965063976593,0.0,2.0,1.0,0.0,114495.0,59537.0,0.098,5445.0,211579.0,174254.0,456164.0,,,,,,,,,
1788835226.362,0.5234901087383729,0.5234901087383729,0.0,2.0,1.0,0.0,114495.0,59937.0,0.098,5445.0,211579.0,174254.0,456164.0,,,,,,,,,
1788835231.382,0.8773308878116949,0.8773308878116949,0.0,1.0,0.0,0.0,114495.0,100450.0,0.098,5869.0,227963.0,184988.0,478762.0,,,,,,,,,
1788835236.4,0.8830516616446134,0.8830516616446134,0.0,2.0,1.0,0.0,114495.0,101105.0,0.098,5869.0,227963.0,184988.0,478762.0,,,,,,,,,
1788835241.418,0.5447661469933185,0.5447661469933185,0.0,1.0,1.0,0.0,114495.0,62373.0,0.098,6021.0,281211.0,197811.0,542633.0,,,,,,,,,
1788835246.435,0.5486440455915106,0.5486440455915106,0.0,2.0,1.0,0.0,114495.0,62817.0,0.098,6021.0,281211.0,197811.0,542633.0,,,,,,,,,
1788835251.451,0.5521376479322241,0.5521376479322241,0.0,2.0,1.0,0.0,114495.0,63217.0,0.098,6021.0,281211.0,197811.0,542633.0,,,,,,,,,
1788835256.472,0.5563299707410804,0.5563299707410804,0.0,2.0,1.0,0.0,114495.0,63697.0,0.098,6021.0,281211.0,199859.0,542633.0,,,,,,,,,
1788835261.493,0.559823573081794,0.559823573081794,0.0,2.0,1.0,0.0,114495.0,64097.0,0.098,6021.0,281211.0,199859.0,542633.0,,,,,,,,,
1788835266.509,0.5633171754225076,0.5633171754225076,0.0,2.0,1.0,0.0,114495.0,64497.0,0.098,6021.0,281211.0,199859.0,542633.0,,,,,,,,,
1788835271.525,0.5675094982313638,0.5675094982313638,0.0,2.0,1.0,0.0,114495.0,64977.0,0.098,6021.0,281211.0,199859.0,542633.0,,,,,,,,,
1788835276.541,0.8369099087296389,0.8369099087296389,0.0,1.0,1.0,0.0,114495.0,95822.0,0.098,7383.0,293499.0,210093.0,567889.0,,,,,,,,,
1788835281.555,0.8980479496921263,0.8980479496921263,0.0,1.0,1.0,0.0,114495.0,102822.0,0.098,7383.0,293499.0,216237.0,567889.0,,,,,,,,,
1788835286.567,0.40883007991615355,0.40883007991615355,0.0,1.0,1.0,0.0,114495.0,46809.0,0.098,7521.0,342651.0,226477.0,632231.0,,,,,,,,,
1788835291.587,0.4895235599807852,0.4895235599807852,0.0,2.0,1.0,0.0,114495.0,56048.0,0.098,7521.0,342651.0,233613.0,632231.0,,,,,,,,,
1788835296.598,0.49231844185335605,0.49231844185335605,0.0,2.0,1.0,0.0,114495.0,56368.0,0.098,7799.0,342651.0,238872.0,649500.0,,,,,,,,,
1788835301.609,0.9054456526485872,0.9054456526485872,0.0,2.0,1.0,0.0,114495.0,103669.0,0.098,7799.0,342651.0,240920.0,649500.0,,,,,,,,,
1788835306.627,0.9082405345211582,0.9082405345211582,0.0,2.0,1.0,0.0,114495.0,103989.0,0.098,7799.0,342651.0,240920.0,649500.0,,,,,,,,,
1788835311.645,0.9117341368618717,0.9117341368618717,0.0,2.0,1.0,0.0,114495.0,104389.0,0.098,7799.0,342651.0,242968.0,649500.0,,,,,,,,,
1788835316.663,0.9152277392025853,0.9152277392025853,0.0,2.0,1.0,0.0,114495.0,104789.0,0.098,7799.0,342651.0,242968.0,649500.0,,,,,,,,,
1788835321.679,0.48920040176426915,0.48920040176426915,0.0,1.0,1.0,0.0,114495.0,56011.0,0.098,8529.0,399995.0,253091.0,714189.0,,,,,,,,,
1788835326.697,0.6144111096554434,0.6144111096554434,0.0,1.0,1.0,0.0,114495.0,70347.0,0.098,8529.0,399995.0,267427.0,714189.0,,,,,,,,,
1788835331.716,0.7195161360758112,0.7195161360758112,0.0,1.0,1.0,0.0,114495.0,82381.0,0.098,8529.0,399995.0,279715.0,714189.0,,,,,,,,,
1788835336.737,0.8484737324774008,0.8484737324774008,0.0,3.0,0.0,0.0,114495.0,97146.0,0.098,8529.0,399995.0,292003.0,714189.0,,,,,,,,,
1788835341.755,0.8537141359884711,0.8537141359884711,0.0,3.0,0.0,0.0,114495.0,97746.0,0.098,8529.0,399995.0,292003.0,714189.0,,,,,,,,,
1788835346.776,0.8568234420717062,0.8568234420717062,0.0,2.0,0.0,0.0,114495.0,98102.0,0.098,8778.0,408187.0,304291.0,756943.0,,,,,,,,,
1788835351.793,0.8688589021354645,0.8688589021354645,0.0,3.0,0.0,0.0,114495.0,99480.0,0.098,9041.0,408187.0,304291.0,771615.0,,,,,,,,,
1788835356.811,0.8730512249443207,0.8730512249443207,0.0,3.0,0.0,0.0,114495.0,99960.0,0.098,9374.0,423035.0,304291.0,786730.0,,,,,,,,,
1788835361.832,0.8252500109175073,0.8252500109175073,0.0,1.0,1.0,0.0,114495.0,94487.0,0.098,9762.0,456082.0,316574.0,830708.0,,,,,,,,,
1788835366.843,0.9834752609284249,0.9834752609284249,0.0,3.0,0.0,0.0,114495.0,112603.0,0.098,9762.0,456082.0,318343.0,830708.0,,,,,,,,,
1788835371.863,0.61738067164505,0.61738067164505,0.0,1.0,1.0,0.0,114495.0,70687.0,0.098,16267.0,506197.0,330745.0,920415.0,,,,,,,,,
1788835376.883,0.7053495785842177,0.7053495785842177,0.0004880429477794046,2.0,0.0,0.0,114495.0,80759.0,0.098,16267.0,506197.0,340434.0,920415.0,,,,,,,,,
1788835381.897,0.8402200969474649,0.8402200969474649,0.0,2.0,0.0,0.0,114495.0,96201.0,0.098,16272.0,506198.0,358866.0,939951.0,,,,,,,,,
1788835386.911,0.8508668500807895,0.8508668500807895,0.0,3.0,0.0,0.0,114495.0,97420.0,0.098,16272.0,506198.0,367058.0,939951.0,,,,,,,,,
1788835391.925,0.8561072535918599,0.8561072535918599,0.0,3.0,0.0,0.0,114495.0,98020.0,0.098,16272.0,506198.0,367058.0,939951.0,,,,,,,,,
1788835396.944,0.9000043670029259,0.9000043670029259,0.9468203793231684,2.0,0.0,0.0,114495.0,103046.0,0.098,17043.0,529608.0,374310.0,976913.0,,,,,,,,,
1788835401.963,0.9049565483208873,0.9049565483208873,0.0,3.0,0.0,0.0,114495.0,103613.0,0.098,17043.0,529608.0,374310.0,976913.0,,,,,,,,,
1788835406.981,0.7336826935674047,0.7336826935674047,0.0,2.0,0.0,0.0,114495.0,84003.0,0.098,17716.0,566616.0,376358.0,1019282.0,,,,,,,,,
1788835412.0,0.7456919516136076,0.7456919516136076,0.0,2.0,0.0,0.0,114495.0,85378.0,0.098,17893.0,588126.0,376358.0,1042308.0,,,,,,,,,
1788835417.019,0.7491855539543212,0.7491855539543212,0.0,2.0,0.0,0.0,114495.0,85778.0,0.098,17893.0,588126.0,378406.0,1042308.0,,,,,,,,,
1788835422.039,0.7526791562950347,0.7526791562950347,0.0,2.0,0.0,0.0,114495.0,86178.0,0.098,17893.0,588126.0,378406.0,1042308.0,,,,,,,,,
1788835427.05,0.7561727586357483,0.7561727586357483,0.0,2.0,0.0,0.0,114495.0,86578.0,0.098,17893.0,588126.0,378406.0,1042308.0,,,,,,,,,
