run,policy,rc,wall_s,n_sessions_done,p50_sess_min,p95_sess_min,p99_sess_min,p50_admit_wait_s,p95_admit_wait_s,retractions,steps_ok,steps_total,server_hit,fails,oks,ttft_slo10
aimd,aimd,0,16023.2,199,138.8585163275401,261.37790616750715,265.288288072745,8039.891389369965,15394.600134849548,0.0,995,996,0.10848029014102531,1,995,17.185929648241206
budget,budget,TIMEOUT,14400.0,199,145.1375950217247,238.5356356859207,240.30121663411458,5608.54306101799,11971.284552574158,0.0,,,,1,907,8.26901874310915
cap16,static=16,TIMEOUT,14400.0,176,117.4136304696401,239.21236924330393,240.34249637524286,6084.459912538528,13424.531392335892,1.0,,,,1,850,0.35294117647058826
cap4,static=4,0,14026.9,199,121.70958770910899,224.1222176392873,232.21809892257053,6936.364901304245,13313.615230083466,1.0,995,996,0.4963675086751652,1,995,62.311557788944725
cap8,static=8,TIMEOUT,14400.0,178,124.6229558467865,236.72189528942107,239.8995778520902,6548.892417192459,13562.802926540375,0.0,,,,1,873,2.520045819014891
default,default,0,13300.4,197,151.49855395555497,212.6110312104225,222.08615830341975,269.24358081817627,269.342648267746,1.0,859,980,9.816779625077553e-07,121,859,0.3492433061699651
load25_aimd,aimd,0,1831.8,25,17.143875098228456,30.9737055738767,31.42947096824646,624.744467496872,1269.0657119750977,0.0,125,125,0.1252689195968036,0,125,17.599999999999998
load25_budget,budget,0,2780.0,25,28.515097443262736,45.45159237384796,47.3151487270991,992.5374460220337,1971.0622477531433,0.0,125,125,0.1934786256147284,0,125,20.967741935483872
load25_cap6,static=6,0,1622.2,25,18.046866341431937,25.73356105883916,27.93505235115687,769.7051429748535,1323.1306211948395,0.0,125,125,0.33895578231400303,0,125,40.0
load25_default,default,0,1892.9,25,24.21857444047928,31.02811360359192,32.61509428024292,287.7820372581482,287.7834963798523,0.0,125,125,0.0006489878736235547,0,125,1.6
load50_aimd,aimd,0,4152.7,50,39.474004956086475,68.82639369567235,70.11091894706091,984.9536066055298,3746.6934027671814,0.0,250,250,0.10319131823983761,0,250,15.6
load50_budget,budget,0,4296.1,50,55.511468052864075,68.6599236647288,73.40734498500824,1339.1415152549744,1383.5837116241455,0.0,250,250,0.1052691038375122,0,250,17.2
load50_cap6,static=6,0,4429.3,50,33.97200550238291,69.66735804875692,75.67890793482462,1755.9926097393036,3702.790459394455,0.0,250,250,0.1769648508514674,0,250,17.2
load50_default,default,0,4795.6,50,65.47991149425506,79.18299475510915,80.90982801119486,290.85124683380127,290.85655307769775,0.0,248,249,0.0,1,248,0.8298755186721992
