ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788798879.261,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798884.28,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798889.298,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798894.314,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798899.329,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798904.346,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798909.359,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798914.38,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798919.396,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798924.414,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798929.43,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798934.447,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798939.465,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798944.484,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798949.501,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798954.515,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798959.533,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798964.548,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798969.565,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798974.582,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798979.599,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798984.617,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798989.634,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798994.653,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788798999.67,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799004.688,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799009.706,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799014.722,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799019.742,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799024.759,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799029.775,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799034.794,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799039.81,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799044.828,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799049.844,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799054.86,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799059.878,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799064.894,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799069.913,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799074.932,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799079.949,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799084.966,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799089.986,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,8.0,,,6.0,,,,,,,,,
1788799095.003,0.05366173195336041,0.05366173195336041,0.0,0.0,105.0,0.0,114495.0,6144.0,0.6979933333333332,10.0,511.0,,1030.0,,,,,,,,,
1788799100.306,0.11328878990348923,0.11328878990348923,0.0,1.0,196.0,0.0,114495.0,12971.0,0.6979933333333332,11.0,511.0,,15950.0,,,,,,,,,
1788799105.323,0.29216122974802394,0.29216122974802394,0.0,3.0,196.0,0.0,114495.0,33451.0,0.6979933333333332,11.0,511.0,,15950.0,,,,,,,,,
1788799110.342,0.4889209135770121,0.4889209135770121,0.0,4.0,194.0,0.0,114495.0,55979.0,0.6979933333333332,11.0,511.0,,15950.0,,,,,,,,,
1788799115.36,0.541185204594087,0.541185204594087,0.0,6.0,194.0,0.0,114495.0,61963.0,0.6979933333333332,12.0,511.0,,30240.0,,,,,,,,,
1788799120.379,0.7200576444386217,0.7200576444386217,0.0,7.0,193.0,0.0,114495.0,82443.0,0.6979933333333332,12.0,511.0,,30240.0,,,,,,,,,
1788799125.396,0.7966199397353596,0.7966199397353596,0.0,9.0,192.0,0.0,114495.0,91209.0,0.6979933333333332,13.0,511.0,23435.0,43676.0,,,,,,,,,
1788799130.416,0.9011485217695095,0.9011485217695095,0.0,7.0,192.0,0.0,114495.0,103177.0,0.6979933333333332,13.0,511.0,32259.0,43676.0,,,,,,,,,
1788799135.436,0.9269837110790864,0.9269837110790864,0.0,6.0,192.0,0.0,114495.0,106135.0,0.5775933333333305,132.0,511.0,46025.0,54599.0,,,,,,,,,
1788799140.457,0.9308703436831303,0.9308703436831303,0.0,6.0,191.0,0.0,114495.0,106580.0,0.525419999999996,303.0,511.0,63952.0,70307.0,,,,,,,,,
1788799145.476,0.8448840560723175,0.8448840560723175,0.0,6.0,191.0,0.0,114495.0,96735.0,0.4892999999999952,509.0,511.0,86326.0,100009.0,,,,,,,,,
1788799150.498,0.8798899515262675,0.8798899515262675,0.0,6.0,190.0,0.0,114495.0,100743.0,0.46923333333332806,736.0,511.0,103797.0,115863.0,,,,,,,,,
1788799155.52,0.910589982095288,0.910589982095288,0.0,6.0,191.0,0.0,114495.0,104258.0,0.44715999999999423,865.0,511.0,121386.0,129227.0,,,,,,,,,
1788799160.54,0.844298877680248,0.844298877680248,0.0,6.0,189.0,0.0,114495.0,96668.0,0.438129999999994,1122.0,511.0,143368.0,158499.0,,,,,,,,,
