ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788800066.111,0.9078475042578279,0.9078475042578279,0.0,3.0,194.0,0.0,114495.0,103944.0,0.098,40814.0,519.0,2657212.0,2627164.0,,,,,,,,,
1788800071.131,0.9120398270666842,0.9120398270666842,0.0,3.0,195.0,0.0,114495.0,104424.0,0.098,40814.0,519.0,2659260.0,2627164.0,,,,,,,,,
1788800076.154,0.9576924756539587,0.9576924756539587,0.0,2.0,195.0,0.0,114495.0,109651.0,0.098,41427.0,519.0,2680788.0,2641935.0,,,,,,,,,
1788800081.173,0.8916284553910652,0.8916284553910652,0.0,2.0,195.0,0.0,114495.0,102087.0,0.098,41848.0,519.0,2693681.0,2688616.0,,,,,,,,,
1788800086.194,0.6856194593650378,0.6856194593650378,0.0,2.0,196.0,0.0,114495.0,78500.0,0.098,41848.0,519.0,2695729.0,2688616.0,,,,,,,,,
1788800091.212,0.7152277392025853,0.7152277392025853,0.0,1.0,197.0,0.0,114495.0,81890.0,0.098,42134.0,519.0,2713554.0,2701517.0,,,,,,,,,
1788800096.231,0.8404384470937596,0.8404384470937596,0.0,1.0,197.0,0.0,114495.0,96226.0,0.098,42134.0,519.0,2727890.0,2701517.0,,,,,,,,,
1788800101.741,0.9477619110004804,0.9477619110004804,0.0,1.0,197.0,0.0,114495.0,108514.0,0.098,42134.0,519.0,2741077.0,2701517.0,,,,,,,,,
1788800106.761,0.9758155377964103,0.9758155377964103,0.0,2.0,197.0,0.0,114495.0,111726.0,0.098,42134.0,519.0,2741077.0,2701517.0,,,,,,,,,
1788800111.779,0.6990960303943403,0.6990960303943403,0.0,1.0,197.0,0.0,114495.0,80043.0,0.098,42334.0,519.0,2758619.0,2747531.0,,,,,,,,,
1788800116.799,0.8421939822699681,0.8421939822699681,0.0,1.0,197.0,0.0,114495.0,96427.0,0.098,42334.0,519.0,2775003.0,2747531.0,,,,,,,,,
1788800121.816,0.9361369492117559,0.9361369492117559,0.0,1.0,197.0,0.0,114495.0,107183.0,0.098,42334.0,519.0,2783195.0,2747531.0,,,,,,,,,
1788800126.838,0.9393161273418054,0.9393161273418054,0.0,2.0,197.0,0.0,114495.0,107547.0,0.098,42334.0,519.0,2783195.0,2747531.0,,,,,,,,,
1788800131.859,0.9421110092143762,0.9421110092143762,0.0,2.0,197.0,0.0,114495.0,107867.0,0.098,42334.0,519.0,2783195.0,2747531.0,,,,,,,,,
1788800136.882,0.9456046115550898,0.9456046115550898,0.0,2.0,197.0,0.0,114495.0,108267.0,0.098,42334.0,519.0,2783195.0,2747531.0,,,,,,,,,
1788800141.903,0.7399886457923927,0.7399886457923927,0.0,1.0,197.0,0.0,114495.0,84725.0,0.098,42919.0,519.0,2804776.0,2789007.0,,,,,,,,,
1788800146.923,0.9203109306083235,0.9203109306083235,0.0,2.0,196.0,0.0,114495.0,105371.0,0.098,42919.0,519.0,2825256.0,2789007.0,,,,,,,,,
1788800151.945,0.8149089479889952,0.8149089479889952,0.0,2.0,195.0,0.0,114495.0,93303.0,0.098,43028.0,519.0,2834863.0,2808745.0,,,,,,,,,
