workload summary | sessions=200 steps=1000 max_prompt_len=89436 max_prefix_len=84631 max_input_len=66571 max_output_len=13223 total_output_len=706010 max_arrival_time_ms=0.000 total_tool_wait_after_ms=12644186.000
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=0.5s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=1.0s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=1.5s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=2.0s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=2.5s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=3.0s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=3.5s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=4.0s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=4.5s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=5.0s
sessions 1/200 | steps 1/1000 completed=0 submitted=200 active=199 failed=1 | elapsed=5.5s
prefix hit rate | request_id=claude:4760bdfe-8ece-e305-f765-f9ca58dd2fe3_round_000000 planned=0.6835 actual=0.0000 delta=-0.6835 server_cached_prompt_tokens=0 server_prompt_tokens=14920
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=6.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=6.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=7.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=7.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=8.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=8.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=9.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=9.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=10.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=10.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=11.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=11.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=12.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=12.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=13.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=13.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=14.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=14.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=15.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=15.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=16.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=16.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=17.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=17.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=18.0s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=18.5s
sessions 1/200 | steps 2/1000 completed=1 submitted=201 active=199 failed=1 | elapsed=19.0s
prefix hit rate | request_id=claude:8ded2b95-67fe-b76c-0ee0-31c5e2a05680_round_000000 planned=0.6467 actual=0.0000 delta=-0.6467 server_cached_prompt_tokens=0 server_prompt_tokens=14290
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=19.5s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=20.0s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=20.5s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=21.0s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=21.5s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=22.1s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=22.6s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=23.1s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=23.6s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=24.1s
sessions 1/200 | steps 3/1000 completed=2 submitted=202 active=199 failed=1 | elapsed=24.6s
