ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1789204120.9,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204125.941,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204130.958,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204135.977,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204140.993,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204146.01,2.9576465020900702e-05,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,3.0,0.7,9.0,,,8.0,,,,,,,,,
1789204151.029,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204156.046,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204161.066,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204166.082,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204171.097,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204176.116,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204181.127,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204186.146,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204191.164,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204196.18,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204201.198,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204206.214,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204211.231,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204216.249,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204221.266,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204226.282,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204231.301,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204236.317,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204241.334,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204246.349,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204251.366,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204256.382,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204261.4,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204266.42,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204271.435,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204276.451,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204281.469,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204286.486,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204291.505,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204296.522,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204301.538,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204306.554,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204311.573,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204316.592,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204321.61,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204326.624,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204331.641,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204336.658,0.0,2.9576465020900702e-05,0.0,0.0,0.0,0.0,101432.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1789204341.673,0.06057260036280464,0.06057260036280464,0.0,0.0,0.0,0.0,101432.0,6144.0,0.7,11.0,511.0,,1032.0,,,,,,,,,
1789204346.689,0.1867359413202934,0.1867359413202934,0.0,1.0,0.0,0.0,101432.0,18941.0,0.7,11.0,511.0,,1032.0,,,,,,,,,
1789204351.702,0.04038173357520309,0.04038173357520309,0.0,0.0,0.0,0.0,101432.0,4096.0,0.7,273.0,511.0,,19944.0,,,,,,,,,
1789204356.721,0.1461175960249231,0.1461175960249231,0.8420727945712523,0.0,0.0,0.0,101432.0,14821.0,0.7,392.0,511.0,,30867.0,,,,,,,,,
