ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1788875366.579,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875371.598,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875376.616,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875381.631,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875386.649,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875391.663,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875396.679,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875401.699,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875406.718,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875411.737,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875416.752,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875421.77,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875426.785,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875431.801,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875436.818,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875441.833,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875446.851,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875451.861,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875456.878,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875461.89,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875466.909,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875471.924,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875476.938,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875481.957,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875486.974,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875491.993,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875497.01,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875502.026,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875507.046,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875512.062,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875517.079,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875522.094,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875527.109,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875532.125,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875537.142,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875542.161,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875547.178,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875552.194,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875557.214,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875562.231,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875567.247,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875572.265,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875577.282,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875582.298,0.0,0.0,0.0,0.0,0.0,0.0,114495.0,0.0,0.7,9.0,,,8.0,,,,,,,,,
1788875587.318,0.14906327787239618,0.14906327787239618,0.0,1.0,0.0,0.0,114495.0,17067.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788875592.333,0.26108563692737674,0.26108563692737674,0.0,2.0,0.0,0.0,114495.0,29893.0,0.6979933333333332,11.0,511.0,,1032.0,,,,,,,,,
1788875597.348,0.297532643346871,0.297532643346871,0.0,2.0,0.0,0.0,114495.0,34066.0,0.5725766666666637,130.0,511.0,,11955.0,,,,,,,,,
1788875602.365,0.15191056378007772,0.15191056378007772,0.9501494940202392,0.0,0.0,0.0,114495.0,17393.0,0.7,696.0,26247.0,,62219.0,,,,,,,,,
1788875607.382,0.22421939822699682,0.22421939822699682,0.0,1.0,0.0,0.0,114495.0,25672.0,0.5294333333333294,855.0,60160.0,,97338.0,,,,,,,,,
1788875612.401,0.37651425826455304,0.37651425826455304,0.0,1.0,2.0,0.0,114495.0,43109.0,0.5294333333333294,855.0,60160.0,,97338.0,,,,,,,,,
1788875617.42,0.5553866981090877,0.5553866981090877,0.0,2.0,1.0,0.0,114495.0,63589.0,0.5294333333333294,855.0,60160.0,,97338.0,,,,,,,,,
1788875622.439,0.7312197039172016,0.7312197039172016,0.0,3.0,0.0,0.0,114495.0,83721.0,0.5294333333333294,855.0,60160.0,,97338.0,,,,,,,,,
1788875627.46,0.7164679680335386,0.7164679680335386,0.0,3.0,0.0,0.0,114495.0,82032.0,0.4200699999999936,963.0,60160.0,3323.0,118323.0,,,,,,,,,
1788875632.481,0.7036202454255645,0.7036202454255645,0.0,3.0,0.0,0.0,114495.0,80561.0,0.40802999999999334,1083.0,60160.0,21213.0,137950.0,,,,,,,,,
1788875637.501,0.7632123673522861,0.7632123673522861,0.0,4.0,0.0,0.0,114495.0,87384.0,0.40802999999999334,1083.0,60160.0,25922.0,137950.0,,,,,,,,,
1788875642.522,0.39661993973535964,0.39661993973535964,0.0,2.0,0.0,0.0,114495.0,45411.0,0.1180666666666571,1968.0,87757.0,25922.0,200991.0,,,,,,,,,
1788875647.542,0.538966767107734,0.538966767107734,0.0,2.0,0.0,0.0,114495.0,61709.0,0.098,2492.0,87757.0,41036.0,224572.0,,,,,,,,,
1788875652.564,0.8547272806672781,0.8547272806672781,0.0,3.0,0.0,0.0,114495.0,97862.0,0.098,2492.0,87757.0,53991.0,224572.0,,,,,,,,,
1788875657.583,0.6225075330800471,0.6225075330800471,0.0,3.0,0.0,0.0,114495.0,71274.0,0.098,2500.0,136606.0,58087.0,282728.0,,,,,,,,,
1788875662.604,0.24219398226996813,0.24219398226996813,0.0,1.0,0.0,0.0,114495.0,27730.0,0.098,3077.0,176532.0,62183.0,326115.0,,,,,,,,,
1788875667.625,0.7406000262020176,0.7406000262020176,0.0,3.0,0.0,0.0,114495.0,84795.0,0.098,3079.0,197910.0,64231.0,348278.0,,,,,,,,,
1788875672.644,0.745840429713088,0.745840429713088,0.0,3.0,0.0,0.0,114495.0,85395.0,0.098,3079.0,197910.0,64231.0,348278.0,,,,,,,,,
1788875677.665,0.7616577143106686,0.7616577143106686,0.0,3.0,0.0,0.0,114495.0,87206.0,0.098,3503.0,219915.0,66279.0,370876.0,,,,,,,,,
1788875682.682,0.7668981178217389,0.7668981178217389,0.0,3.0,0.0,0.0,114495.0,87806.0,0.098,3503.0,219915.0,68327.0,370876.0,,,,,,,,,
1788875687.707,0.7721385213328092,0.7721385213328092,0.0,3.0,1.0,0.0,114495.0,88406.0,0.098,3503.0,219915.0,68327.0,370876.0,,,,,,,,,
1788875692.726,0.7773789248438796,0.7773789248438796,0.0,3.0,1.0,0.0,114495.0,89006.0,0.098,3503.0,219915.0,68327.0,370876.0,,,,,,,,,
1788875697.744,0.78261932835495,0.78261932835495,0.0,3.0,1.0,0.0,114495.0,89606.0,0.098,4454.0,242076.0,71643.0,395155.0,,,,,,,,,
1788875702.763,0.7870300013101009,0.7870300013101009,0.0,3.0,0.0,0.0,114495.0,90111.0,0.098,4454.0,242076.0,71713.0,395155.0,,,,,,,,,
1788875707.784,0.7922704048211713,0.7922704048211713,0.0,3.0,0.0,0.0,114495.0,90711.0,0.098,4454.0,242076.0,73761.0,395155.0,,,,,,,,,
1788875712.804,0.7975108083322415,0.7975108083322415,0.0,3.0,0.0,0.0,114495.0,91311.0,0.098,4454.0,242076.0,73761.0,395155.0,,,,,,,,,
1788875717.824,0.803799292545526,0.803799292545526,0.0,3.0,0.0,0.0,114495.0,92031.0,0.098,4454.0,242076.0,73761.0,395155.0,,,,,,,,,
1788875722.843,0.8090396960565963,0.8090396960565963,0.0,3.0,0.0,0.0,114495.0,92631.0,0.098,4454.0,242076.0,74544.0,395155.0,,,,,,,,,
1788875727.862,0.8142800995676667,0.8142800995676667,0.0,3.0,0.0,0.0,114495.0,93231.0,0.098,4454.0,242076.0,75450.0,395155.0,,,,,,,,,
1788875732.88,0.8188567186340014,0.8188567186340014,0.9278619232123987,2.0,0.0,0.0,114495.0,93755.0,0.098,7485.0,249971.0,81586.0,422540.0,,,,,,,,,
1788875737.9,0.6039739726625617,0.6039739726625617,0.0,2.0,0.0,0.0,114495.0,69152.0,0.098,8847.0,272567.0,81586.0,447796.0,,,,,,,,,
1788875742.92,0.6074675750032753,0.6074675750032753,0.0,2.0,0.0,0.0,114495.0,69552.0,0.098,8847.0,272567.0,83634.0,447796.0,,,,,,,,,
1788875747.943,0.6109611773439888,0.6109611773439888,0.0,2.0,0.0,0.0,114495.0,69952.0,0.098,8847.0,272567.0,83634.0,447796.0,,,,,,,,,
1788875752.962,0.6151535001528451,0.6151535001528451,0.0,2.0,0.0,0.0,114495.0,70432.0,0.098,8847.0,272567.0,83634.0,447796.0,,,,,,,,,
1788875757.981,0.6541770382986156,0.6541770382986156,0.0,2.0,0.0,0.0,114495.0,74900.0,0.098,8847.0,272567.0,89778.0,447796.0,,,,,,,,,
1788875763.002,0.7734136861871698,0.7734136861871698,0.0,3.0,0.0,0.0,114495.0,88552.0,0.098,8847.0,272567.0,101358.0,447796.0,,,,,,,,,
1788875768.023,0.622839425302415,0.622839425302415,0.0,2.0,0.0,0.0,114495.0,71312.0,0.098,9096.0,272567.0,101970.0,465502.0,,,,,,,,,
1788875773.044,0.6263330276431285,0.6263330276431285,0.0,2.0,0.0,0.0,114495.0,71712.0,0.098,9096.0,272567.0,101970.0,465502.0,,,,,,,,,
1788875778.064,0.8044281409668544,0.8044281409668544,0.0,3.0,0.0,0.0,114495.0,92103.0,0.098,9096.0,272567.0,107160.0,465502.0,,,,,,,,,
1788875783.084,0.8096685444779248,0.8096685444779248,0.0,3.0,0.0,0.0,114495.0,92703.0,0.098,9096.0,272567.0,107160.0,465502.0,,,,,,,,,
1788875788.104,0.6892353377876763,0.6892353377876763,0.0,2.0,1.0,0.0,114495.0,78914.0,0.098,9475.0,288653.0,116374.0,485507.0,,,,,,,,,
1788875793.126,0.8502205336477575,0.8502205336477575,0.0,2.0,1.0,0.0,114495.0,97346.0,0.098,9475.0,288653.0,136579.0,485507.0,,,,,,,,,
1788875798.144,0.9252893139438404,0.9252893139438404,0.0,3.0,1.0,0.0,114495.0,105941.0,0.098,9475.0,288653.0,140675.0,485507.0,,,,,,,,,
1788875803.163,0.9305297174549106,0.9305297174549106,0.0,3.0,1.0,0.0,114495.0,106541.0,0.098,9475.0,288653.0,142723.0,485507.0,,,,,,,,,
1788875808.183,0.935770120965981,0.935770120965981,0.0,3.0,1.0,0.0,114495.0,107141.0,0.098,9475.0,288653.0,142723.0,485507.0,,,,,,,,,
1788875813.204,0.9399624437748373,0.9399624437748373,0.0,3.0,1.0,0.0,114495.0,107621.0,0.098,9475.0,288653.0,142723.0,485507.0,,,,,,,,,
1788875818.224,0.6500895235599807,0.6500895235599807,0.0,2.0,4.0,0.0,114495.0,74432.0,0.098,10145.0,288653.0,142723.0,518585.0,,,,,,,,,
1788875823.243,0.6535831259006943,0.6535831259006943,0.0,2.0,4.0,0.0,114495.0,74832.0,0.098,10145.0,288653.0,144771.0,518585.0,,,,,,,,,
1788875828.263,0.657076728241408,0.657076728241408,0.0,2.0,4.0,0.0,114495.0,75232.0,0.098,10145.0,288653.0,144771.0,518585.0,,,,,,,,,
1788875833.285,0.6605703305821214,0.6605703305821214,0.0,2.0,4.0,0.0,114495.0,75632.0,0.098,10145.0,288653.0,144771.0,518585.0,,,,,,,,,
1788875838.306,0.3879296039128346,0.3879296039128346,0.0,1.0,4.0,0.0,114495.0,44416.0,0.098,13757.0,314995.0,153459.0,550726.0,,,,,,,,,
1788875843.328,0.5489147997729158,0.5489147997729158,0.0,1.0,4.0,0.0,114495.0,62848.0,0.098,13757.0,314995.0,169513.0,550726.0,,,,,,,,,
1788875848.349,0.6741255076640902,0.6741255076640902,0.0,1.0,6.0,0.0,114495.0,77184.0,0.098,13757.0,314995.0,183552.0,550726.0,,,,,,,,,
1788875853.37,0.7635617275863574,0.7635617275863574,0.0,1.0,6.0,0.0,114495.0,87424.0,0.098,13757.0,314995.0,193792.0,550726.0,,,,,,,,,
1788875858.391,0.6793659111751605,0.6793659111751605,0.9230769230769231,1.0,6.0,0.0,114495.0,77784.0,0.098,20138.0,346115.0,200173.0,584754.0,,,,,,,,,
1788875863.412,0.8300973841652474,0.8300973841652474,0.0,2.0,6.0,0.0,114495.0,95042.0,0.098,20138.0,346115.0,217280.0,584754.0,,,,,,,,,
1788875868.433,0.9731953360408752,0.9731953360408752,0.0,2.0,6.0,0.0,114495.0,111426.0,0.098,20138.0,346115.0,232153.0,584754.0,,,,,,,,,
1788875873.452,0.6035372723699725,0.6035372723699725,0.0,2.0,5.0,0.0,114495.0,69102.0,0.098,20358.0,346115.0,240435.0,633776.0,,,,,,,,,
1788875878.474,0.7319009563736407,0.7319009563736407,0.0,2.0,8.0,0.0,114495.0,83799.0,0.098,20358.0,346115.0,254771.0,633776.0,,,,,,,,,
1788875883.493,0.32587449233590987,0.32587449233590987,0.0,1.0,9.0,0.0,114495.0,37311.0,0.098,20790.0,370691.0,273203.0,696472.0,,,,,,,,,
