workload summary | sessions=50 steps=250 max_prompt_len=87821 max_prefix_len=84631 max_input_len=49022 max_output_len=9829 total_output_len=160802 max_arrival_time_ms=0.000 total_tool_wait_after_ms=2694522.000
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=0.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=1.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=1.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=2.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=2.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=3.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=3.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=4.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=4.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=5.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=5.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=6.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=6.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=7.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=7.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=8.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=8.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=9.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=9.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=10.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=10.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=11.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=11.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=12.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=12.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=13.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=13.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=14.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=14.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=15.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=15.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=16.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=16.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=17.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=17.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=18.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=18.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=19.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=19.5s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=20.0s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=20.6s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=21.1s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=21.6s
sessions 0/50 | steps 0/250 completed=0 submitted=6 active=6 failed=0 | elapsed=22.1s
prefix hit rate | request_id=claude:04a9794a-2fdc-d2aa-68c7-ef5483c0631b_round_000000 planned=0.5091 actual=0.0000 delta=-0.5091 server_cached_prompt_tokens=0 server_prompt_tokens=20985
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=22.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=23.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=23.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=24.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=24.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=25.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=25.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=26.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=26.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=27.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=27.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=28.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=28.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=29.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=29.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=30.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=30.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=31.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=31.6s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=32.1s
sessions 0/50 | steps 1/250 completed=1 submitted=7 active=6 failed=0 | elapsed=32.6s
